trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.98}",25,0,-153.1789383850828,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.96}",25,13,-32.75868131780614,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
3,False,"{'a': 0.8, 'e': 0.94}",20,0,-128.92987149892286,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.9199999999999999}",25,4,-54.99723714760777,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 0}",1
5,False,"{'a': 0.8, 'e': 0.8999999999999999}",20,6,-65.03439713341662,"{0: 7, 1: 1, 2: 5, 3: 1, 4: 0}",1
6,False,"{'a': 0.8, 'e': 0.8799999999999999}",20,0,-147.1276774315063,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.8, 'e': 0.8599999999999999}",20,0,-182.8985792135574,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.8399999999999999}",30,0,-199.07721819943018,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
9,False,"{'a': 0.8, 'e': 0.8199999999999998}",20,6,0.215117563331797,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.8, 'e': 0.7999999999999998}",25,0,-31.42699655089801,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.7799999999999998}",20,0,-82.6899944301209,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.7599999999999998}",20,0,-120.84283348458744,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.7399999999999998}",30,0,-179.77006873079185,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",1
14,False,"{'a': 0.8, 'e': 0.7199999999999998}",25,0,-130.48431764323882,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.8, 'e': 0.6999999999999997}",20,0,-97.09176152641382,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.8, 'e': 0.6799999999999997}",25,0,-200.25796858035486,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
17,False,"{'a': 0.8, 'e': 0.6599999999999997}",20,0,-83.88590076741076,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0.6399999999999997}",25,0,-153.79972968395882,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.8, 'e': 0.6199999999999997}",20,0,-62.4288417990592,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.5999999999999996}",30,0,-110.83460904984463,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.8, 'e': 0.5799999999999996}",20,0,-143.7990913758957,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
22,False,"{'a': 0.8, 'e': 0.5599999999999996}",25,0,-67.46339282962698,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.8, 'e': 0.5399999999999996}",25,13,-12.992445543588266,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.8, 'e': 0.5199999999999996}",25,6,-86.94142562531825,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 1}",1
25,False,"{'a': 0.8, 'e': 0.49999999999999956}",20,11,1.4071788978889765,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.8, 'e': 0.47999999999999954}",25,0,-75.91379115504488,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.8, 'e': 0.4599999999999995}",35,8,-186.22220476073164,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 3}",1
28,False,"{'a': 0.8, 'e': 0.4399999999999995}",25,5,-2.0841810850115676,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.8, 'e': 0.4199999999999995}",30,16,0.7302106347805248,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.8, 'e': 0.39999999999999947}",20,9,-28.286751926698706,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
31,False,"{'a': 0.8, 'e': 0.37999999999999945}",25,4,-106.29427733487869,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 1}",1
32,False,"{'a': 0.8, 'e': 0.35999999999999943}",20,6,-27.987385224467708,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
33,False,"{'a': 0.8, 'e': 0.3399999999999994}",25,8,-48.469351973888955,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 0}",1
34,False,"{'a': 0.8, 'e': 0.3199999999999994}",25,3,-3.5294864251131464,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
35,False,"{'a': 0.8, 'e': 0.2999999999999994}",25,0,-95.97341377776719,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
36,False,"{'a': 0.8, 'e': 0.27999999999999936}",35,17,12.019457373912163,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
37,False,"{'a': 0.8, 'e': 0.25999999999999934}",20,0,-31.789465057996846,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.8, 'e': 0.23999999999999935}",20,3,1.6416600606940441,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.8, 'e': 0.21999999999999936}",20,10,-5.614868567153792,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.8, 'e': 0.19999999999999937}",20,8,-40.52604293097903,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
41,False,"{'a': 0.8, 'e': 0.17999999999999938}",25,15,7.290796609853192,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.8, 'e': 0.1599999999999994}",20,7,-12.148813137422769,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
43,False,"{'a': 0.8, 'e': 0.1399999999999994}",20,5,-13.75396022322364,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.8, 'e': 0.1199999999999994}",20,2,-53.36201064544882,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
45,False,"{'a': 0.8, 'e': 0.0999999999999994}",30,20,17.549629991353832,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.8, 'e': 0.07999999999999939}",20,16,8.288650404071497,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.05999999999999939}",25,0,-5.787342984543588,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.8, 'e': 0.03999999999999938}",20,0,-14.648063953628348,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",35,7,28.656552977355712,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,2,7.492486592204976,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,20,9.946732578593524,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,16.678559072926472,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,8,1.2629052678195674,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",30,13,-1.3327578097059603,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,18,24.334086779891607,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,18.785982605339083,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,15,16.80959420744824,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,16,15.377807983052621,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
